"n","f","taxon"
142,"Amaryllidaceae","ALLIUM brevicaule"
143,"Amaryllidaceae","ALLIUM caesium"
145,"Amaryllidaceae","ALLIUM carinatum"
144,"Amaryllidaceae","ALLIUM carinatum"
147,"Amaryllidaceae","ALLIUM carinatum subsp. pulchellum"
148,"Amaryllidaceae","ALLIUM carinatum subsp. pulchellum f. album"
146,"Amaryllidaceae","ALLIUM carinatum white"
149,"Amaryllidaceae","ALLIUM carolinianum"
150,"Amaryllidaceae","ALLIUM cernuum"
5022,"Amaryllidaceae","ALLIUM cernuum"
153,"Amaryllidaceae","ALLIUM cernuum 'Pink Giant'"
151,"Amaryllidaceae","ALLIUM cernuum dark"
152,"Amaryllidaceae","ALLIUM cernuum dark pink"
154,"Amaryllidaceae","ALLIUM cernuum f. album"
155,"Amaryllidaceae","ALLIUM circinatum"
156,"Amaryllidaceae","ALLIUM cowanii"
157,"Amaryllidaceae","ALLIUM cretaceum"
158,"Amaryllidaceae","ALLIUM crispum"
159,"Amaryllidaceae","ALLIUM cristophii"
160,"Amaryllidaceae","ALLIUM cyaneum"
161,"Amaryllidaceae","ALLIUM cyathophorum subsp. farreri"
162,"Amaryllidaceae","ALLIUM decipiens"
163,"Amaryllidaceae","ALLIUM dodecadondum"
164,"Amaryllidaceae","ALLIUM drummondii"
165,"Amaryllidaceae","ALLIUM erythraeum"
166,"Amaryllidaceae","ALLIUM falcifolium"
5023,"Amaryllidaceae","ALLIUM falcifolium"
167,"Amaryllidaceae","ALLIUM farreri"
168,"Amaryllidaceae","ALLIUM farreri cf."
169,"Amaryllidaceae","ALLIUM fistulosum"
170,"Amaryllidaceae","ALLIUM flavum"
171,"Amaryllidaceae","ALLIUM flavum subsp. flavum var. minus"
172,"Amaryllidaceae","ALLIUM galanthum"
173,"Amaryllidaceae","ALLIUM geyeri"
174,"Amaryllidaceae","ALLIUM giganteum"
175,"Amaryllidaceae","ALLIUM gomphrenoides"
176,"Amaryllidaceae","ALLIUM guttatum"
177,"Amaryllidaceae","ALLIUM heldreichii"
178,"Amaryllidaceae","ALLIUM hollandicum 'Purple Sensation'"
179,"Amaryllidaceae","ALLIUM huber-morathii"
180,"Amaryllidaceae","ALLIUM hymenorhizum"
181,"Amaryllidaceae","ALLIUM insubricum"
182,"Amaryllidaceae","ALLIUM karataviense"
183,"Amaryllidaceae","ALLIUM korolkowi"
184,"Amaryllidaceae","ALLIUM kurtzianum"
185,"Amaryllidaceae","ALLIUM lineare"
186,"Amaryllidaceae","ALLIUM lusitanicum"
187,"Amaryllidaceae","ALLIUM macranthum"
188,"Amaryllidaceae","ALLIUM mairei"
189,"Amaryllidaceae","ALLIUM moly"
190,"Amaryllidaceae","ALLIUM narcissiflorum"
191,"Amaryllidaceae","ALLIUM neriniflorum"
192,"Amaryllidaceae","ALLIUM nevskianum"
193,"Amaryllidaceae","ALLIUM nigrum aff."
194,"Amaryllidaceae","ALLIUM nutans"
195,"Amaryllidaceae","ALLIUM nutans ex Russia"
196,"Amaryllidaceae","ALLIUM obliquum"
197,"Amaryllidaceae","ALLIUM ochotense"
199,"Amaryllidaceae","ALLIUM oleraceum"
198,"Amaryllidaceae","ALLIUM oleraceum"
200,"Amaryllidaceae","ALLIUM oreophilum ex Kurdistan"
201,"Amaryllidaceae","ALLIUM ovalifolium"
202,"Amaryllidaceae","ALLIUM paradoxum"
203,"Amaryllidaceae","ALLIUM paradoxum subsp. normale"
204,"Amaryllidaceae","ALLIUM plummerae"
205,"Amaryllidaceae","ALLIUM prattii"
206,"Amaryllidaceae","ALLIUM przewalskianum"
207,"Amaryllidaceae","ALLIUM pseudojaponicum"
208,"Amaryllidaceae","ALLIUM pskemense"
209,"Amaryllidaceae","ALLIUM regelii"
210,"Amaryllidaceae","ALLIUM rosenbachianum"
212,"Amaryllidaceae","ALLIUM roseum"
211,"Amaryllidaceae","ALLIUM roseum"
213,"Amaryllidaceae","ALLIUM rotundum"
214,"Amaryllidaceae","ALLIUM sativum"
215,"Amaryllidaceae","ALLIUM saxatile"
216,"Amaryllidaceae","ALLIUM scabriflorum"
217,"Amaryllidaceae","ALLIUM schoenoprasum"
218,"Amaryllidaceae","ALLIUM schoenoprasum 'Forescate'"
219,"Amaryllidaceae","ALLIUM schoenoprasum 'Wallington White'"
220,"Amaryllidaceae","ALLIUM schoenoprasum subsp. sibiricum"
221,"Amaryllidaceae","ALLIUM schubertii"
222,"Amaryllidaceae","ALLIUM senescens"
223,"Amaryllidaceae","ALLIUM sewerzowi"
224,"Amaryllidaceae","ALLIUM shelkovnikovi"
225,"Amaryllidaceae","ALLIUM siculum"
226,"Amaryllidaceae","ALLIUM sikkimense"
129,"Amaryllidaceae","ALLIUM sp. August fl"
227,"Amaryllidaceae","ALLIUM sphaerocephalon ex Gran Sasso"
228,"Amaryllidaceae","ALLIUM splendens"
229,"Amaryllidaceae","ALLIUM stellatum"
230,"Amaryllidaceae","ALLIUM stipitatum"
231,"Amaryllidaceae","ALLIUM strictum"
232,"Amaryllidaceae","ALLIUM subhirsutum"
233,"Amaryllidaceae","ALLIUM subvillosum"
234,"Amaryllidaceae","ALLIUM suworowi"
235,"Amaryllidaceae","ALLIUM szovitsii"
236,"Amaryllidaceae","ALLIUM tanguticum"
237,"Amaryllidaceae","ALLIUM togashii"
238,"Amaryllidaceae","ALLIUM tricoccum"
239,"Amaryllidaceae","ALLIUM tschimganicum"
240,"Amaryllidaceae","ALLIUM tuberosum"
241,"Amaryllidaceae","ALLIUM unifolium"
242,"Amaryllidaceae","ALLIUM validum"
243,"Amaryllidaceae","ALLIUM victorialis"
5024,"Amaryllidaceae","ALLIUM victorialis"
244,"Amaryllidaceae","ALLIUM victorialis subsp. platyphyllum"
245,"Amaryllidaceae","ALLIUM victorialis subsp. platyphyllum ex Japan"
246,"Amaryllidaceae","ALLIUM wallichii"
247,"Amaryllidaceae","ALLIUM zebdanense"
252,"Alstroemeriaceae","ALSTROEMERIA angustifolia"
253,"Alstroemeriaceae","ALSTROEMERIA aurea"
250,"Alstroemeriaceae","ALSTROEMERIA hybs. orange"
254,"Alstroemeriaceae","ALSTROEMERIA ligtu hybrids"
255,"Alstroemeriaceae","ALSTROEMERIA patagonica"
251,"Alstroemeriaceae","ALSTROEMERIA sp. yellow 30cm"
273,"Colchicaceae","ANDROCYMBIUM striatum"
304,"Ranunculaceae","ANEMONE 'Wild Swan'"
305,"Ranunculaceae","ANEMONE altaica"
306,"Ranunculaceae","ANEMONE barbulata"
307,"Ranunculaceae","ANEMONE canadensis"
308,"Ranunculaceae","ANEMONE coronaria"
309,"Ranunculaceae","ANEMONE coronaria red"
310,"Ranunculaceae","ANEMONE crinita"
311,"Ranunculaceae","ANEMONE cylindrica"
312,"Ranunculaceae","ANEMONE drummondii"
313,"Ranunculaceae","ANEMONE fasciculata"
314,"Ranunculaceae","ANEMONE filisecta"
315,"Ranunculaceae","ANEMONE hortensis"
317,"Ranunculaceae","ANEMONE leveillei"
318,"Ranunculaceae","ANEMONE lithophila"
319,"Ranunculaceae","ANEMONE multifida"
320,"Ranunculaceae","ANEMONE multifida 'Major'"
321,"Ranunculaceae","ANEMONE multifida f. rubra"
322,"Ranunculaceae","ANEMONE narcissiflora"
323,"Ranunculaceae","ANEMONE narcissiflora subsp. biarmiensis"
324,"Ranunculaceae","ANEMONE obtusiloba"
325,"Ranunculaceae","ANEMONE obtusiloba 'Kari'"
326,"Ranunculaceae","ANEMONE palmata"
327,"Ranunculaceae","ANEMONE parviflora"
328,"Ranunculaceae","ANEMONE pavonina"
329,"Ranunculaceae","ANEMONE pavonina hardy"
330,"Ranunculaceae","ANEMONE polyanthes"
331,"Ranunculaceae","ANEMONE rivularis"
332,"Ranunculaceae","ANEMONE rivularis aff."
333,"Ranunculaceae","ANEMONE sherriffii"
303,"Ranunculaceae","ANEMONE sp. cream 60cm"
334,"Ranunculaceae","ANEMONE sylvestris"
335,"Ranunculaceae","ANEMONE tetonensis"
336,"Ranunculaceae","ANEMONE trullifolia"
337,"Ranunculaceae","ANEMONE trullifolia subsp. linearis"
338,"Ranunculaceae","ANEMONE vitifolia"
316,"Ranunculaceae","ANEMONE x lesseri"
352,"Asphodelaceae","ANTHERICUM baeticum"
353,"Asphodelaceae","ANTHERICUM liliago"
354,"Asphodelaceae","ANTHERICUM liliago f. major"
355,"Asphodelaceae","ANTHERICUM ramosum"
437,"Araceae","ARISAEMA amurense"
438,"Araceae","ARISAEMA ciliatum"
439,"Araceae","ARISAEMA ciliatum subsp. liubaense"
440,"Araceae","ARISAEMA consanguineum"
441,"Araceae","ARISAEMA consanguineum cf."
442,"Araceae","ARISAEMA costatum CC6224"
443,"Araceae","ARISAEMA dracontium"
444,"Araceae","ARISAEMA flavum"
445,"Araceae","ARISAEMA flavum CC3946"
446,"Araceae","ARISAEMA flavum dwarf form"
447,"Araceae","ARISAEMA flavum subsp. abbreviatum"
448,"Araceae","ARISAEMA heterophyllum"
449,"Araceae","ARISAEMA jacquemontii ex Sikkim 4000m small"
450,"Araceae","ARISAEMA propinquum"
451,"Araceae","ARISAEMA robustum"
452,"Araceae","ARISAEMA tortuosum"
453,"Araceae","ARISAEMA triphyllum"
454,"Araceae","ARISAEMA yunnanense ACE111"
455,"Iridaceae","ARISTEA ecklonii"
456,"Iridaceae","ARISTEA grandis"
458,"Aristolochiaceae","ARISTOLOCHIA baetica"
459,"Aristolochiaceae","ARISTOLOCHIA manshuriensis"
471,"Asphodelaceae","ARTHROPODIUM candidum bronze"
472,"Asphodelaceae","ARTHROPODIUM candidum subsp. maculatum"
473,"Asphodelaceae","ARTHROPODIUM minus"
475,"Araceae","ARUM alpinum"
476,"Araceae","ARUM apulum"
477,"Araceae","ARUM concinnatum ex Crete"
478,"Araceae","ARUM creticum"
479,"Araceae","ARUM cyrenaicum"
