Seed #,Genus/species,Description,Origin
347,Bukiniczia cabulica,pink flr/white veined lvs to 30cm 112 156,G
348,Bupleurum ranunculoides,yellow 10-60cm 64 66,G
349,Bupleurum rotundifolium,yellow-green 10-40cm 151,G
350,Calceolaria andina,deep yellow/orange 20-35cm 11 45,G
351,Calceolaria biflora,yellow 10-45cm 58 156,G
352,Calceolaria chelidonioides,yellow 30-50cm 101,G
353,Calceolaria filicaulis,yellow 15-25cm 154,G
354,Calceolaria 'John Innes',yellow/purple spots 10-20cm 96 177,G
355,Callicarpa dichotoma,pink-white flr/purple frt 1-2m 178,G
356,Callirhoe involucrata,reddish-purple 15-30cm 79 89,G
357,Callirhoe triangulata,magenta-red 45-50cm 170,G
358,Calochortus albus,white-pink 20-80cm 17,G
359,Calochortus amabilis,yellow 10-50cm 59,G
360,Calochortus argillosus,white/red-lavender markings 40-60cm 59,G
361,Calochortus howellii,yellowish white 20-35cm 18,G
362,Calochortus longibarbatus,light pink-lavender 10-30cm 64,G
363,Calochortus luteus,deep yellow/red-brown 20-50cm 29,G
364,Calochortus obispoensis,yellow-orange/purple-brown tips 30-60cm 18,G
365,Calochortus splendens,lavender-purple 20-60cm 59,G
366,Calochortus uniflorus,pink 5-10cm 24,G
367,Calochortus venustus,mix 10-60cm 18,G
368,Caltha biflora,white 15-30cm 64,G
369,Caltha palustris,yellow to 50cm 77,G
370,Calycanthus chinensis,white 1-3m 21,G
371,Calycanthus floridus,maroon to 3.5m 62,G
372,Calylophus serrulata,yellow 15-45cm 34,G
373,Camassia leichtlinii,blue-violet/cream 20-130cm 177,G
374,Camassia leichtlinii,dark blue-violet 20-130cm 85,G
375,Camassia leichtlinii ssp leichtlinii,creamy white 20-130cm 3,G
376,Camassia quamash,blue-violet 20-80cm 77,G
377,Camassia scilloides,light blue/whitish 19-47cm 179,G
378,Campanula alliariifolia,white-light violet 50-70cm 156 181,G
379,Campanula aristata,pale blue 7-30cm 119,G
380,Campanula betulifolia,white/pink bud 10-20cm 32 185,G
381,Campanula carpatica,blue 15-30cm 64,G
382,Campanula carpatica 'Rapido Blue',violet-blue 15-20cm 147 175,G
383,Campanula choruhensis,white/flushed pink 10-15cm 57 100,G
384,Campanula coriacea,lilac 5-15cm 100,G
385,Campanula dolomitica,white/yellowish 30-60cm 32,G
386,Campanula hofmannii,creamy white 30-60cm 37 45 175,G
387,Campanula incurva,pale blue-lilac to 30cm 35 57 156,G
388,Campanula latifolia,mix 60-120cm 160,G
389,Campanula latifolia,white 60-120cm 122,G
390,Campanula latiloba 'Hidcote Amethyst',pale pinkish-lilac to 90cm 175,G
391,Campanula medium,mix 60-80cm 158,G
392,Campanula pelia (cf),57,G
393,Campanula persicifolia,lilac 30-90cm 180,G
394,Campanula persicifolia,pink 30-90cm 42,G
395,Campanula persicifolia,white 30-90cm 19,G
396,Campanula persicifolia 'Telham Beauty',blue 60-120cm 9,G
397,Campanula 'Pink Octopus',pink 30-45cm 147,G
399,Campanula primulifolia,lavender blue to 90cm 133 175,G
401,Campanula 'Ringsabell Indigo Blue',bluish-purple 15-40cm 147,G
402,Campanula 'Ringsabell Mulberry Rose',rose pink 15-40cm 147,G
403,Campanula rotundifolia,pale-mid violet-blue 10-50cm 153,G
404,Campanula sarmatica,lilac-blue flr/grey woolly lvs to 50cm 32 67,G
405,Campanula saxifraga,white 20cm 119,G
406,Campanula saxifraga ssp aucheri,violet-blue 5-15cm 112,G
407,Campanula thyrsoides,pale yellow-cream 20-40cm 100,G
408,Campanula zangezura,lavender-violet to 30cm 14,G
409,Cardamine concatenata,white-pale pink 20-40cm 169,G
410,Cardiocrinum cordatum,greenish white 70-200cm 54 113,G
411,Cardiocrinum giganteum,white/streaked purple 1-3m 181 175,G
412,Cardiocrinum giganteum v yunnanense,white/purple-red streak 1-3m 149,G
413,Carex appalachica,20-60cm 175,G
414,Carex grayi,spiked club-shaped seed head 40-90cm 90 115,G
415,Carex pendula,20-100cm 55 90,G
416,Carex scaposa,pink to 30cm 170,G
417,Carlina acaulis ssp caulescens,silvery white 15-50cm 97,G
418,Caryopteris incana,purplish-bluish 25-50cm 29,G
419,Castilleja miniata x integra hybrid,34,G
420,Catananche caerulea,pink 40cm 180,G
421,Catananche caespitosa,yellow flr/silver-grey lvs 5-10cm 156,G
422,Caulophyllum thalictroides,yellow-green flr/blue fruit 20-90cm 113,G
423,Centaurea drabifolia,yellow flr/grey lvs 5-25cm 78,G
424,Centaurea urvillei,butter yellow 25cm 78,G
425,Cercis chinensis,pink 2-5m 173,G
426,Cercis chinensis,purplish red/pink/white 2-5m 178,G
427,Cercis siliquastrum,deep pink to 12m 173,G
428,Chaenorhinum origanifolium,purple-violet 15-25cm 68,G
429,Chamaebatiaria millefolium,white 60-200cm 156,G
430,Chelidonium majus 'Flore Pleno',double yellow to 60cm 9,G
431,Chiastophyllum oppositifolium,yellow 15cm 37 58,G
432,Chilopsis linearis,white w/purple 5m 173,G
433,Chionanthus retusus,white to 20m 33,G
434,Chionanthus sp,5,G
435,Chionanthus virginicus,white 3-10m 51,G
436,Chionanthus virginicus (moist packed),white 3-10m 87,G
437,Chlorophytum saundersiae,white 40cm 172,G
438,Chrysogonum virginianum,yellow 15-35cm 6,G
439,Cinna arundinacea,28-185cm 141,G
440,Cistus creticus,rose-purple 1-1.5m 150,G
441,Cistus laurifolius,white 80-200cm 78,G
442,Citrus trifoliata 'Flying Dragon',white flr/yellow frt/contorted to 3.5m 115,G
443,Clarkia hybrid,long blooming magenta 90cm 133,G
444,Clarkia pulchella,fuchsia 10-50cm 60,G
445,Claytonia megarhiza v nivalis,pink-purple 2-5cm 77,G
446,Claytonia virginica (moist packed),white/pink 5-20cm 124,G
447,Clematis addisonii,reddish-purple/cream tips 60-100cm 45 175,G
448,Clematis akebioides,yellow/greenish-yellow tinged purple to 5m 126,G
449,Clematis alpina,blue-violet/purple to 4m 37,G
450,Clematis crispa,lavender/violet-blue to 3m 116,G
451,Clematis 'Everett',deep red-purple 1-1.5m 160,G
452,Clematis florida 'Alba Plena',double white/green tinge 2-2.5m 33,G
453,Clematis fremontii,pale blue-violet/purple 15-45cm 20,G
454,Clematis fremontii,white 30-45cm 146,G
455,Clematis fusca,purple-brown 35-200cm 175,G
456,Clematis heracleifolia 'China Purple',violet-blue 60-100cm 175,G
457,Clematis hexapetala,white 30-100cm 156,G
458,Clematis hirsutissima,dark violet-blue 15-65cm 64 154 156,G
459,Clematis integrifolia,blue to 1m 158,G
460,Clematis integrifolia,purple to 1m 144,G
461,Clematis integrifolia 'Mongolian Bells',mostly blue 25-35cm 156,G
462,Clematis integrifolia 'Mongolian Bells',white 25-35cm 156,G
463,Clematis integrifolia 'Rosea',pink to 1m 14,G
464,Clematis ochroleuca,pale purple 20-70cm 114,G
465,Clematis 'Omoshiro',white/pink edges & reverse to 2.4m 33,G
466,Clematis pitcheri,bluish-purple/reddish-purple to 4m 91,G
467,Clematis pitcheri v dictyota,pale-dark purple to 4m 28 70,G
