bx_id,date_open,n_items_all,n_items_seed,n_items_bulb
BX 454,2019-02-23,0,0,0
BX 454,2019-02-23,26,11,15
BX 454,2019-02-23,0,0,0
BX 455,2019-04-02,0,0,0
BX 455,2019-04-02,15,9,6
BX 455,2019-04-02,0,0,0
BX 456,2019-04-19,0,0,0
BX 456,2019-04-19,32,31,1
BX 456,2019-04-19,0,0,0
BX 457,2019-05-09,0,0,0
BX 457,2019-05-09,14,11,3
BX 457,2019-05-09,0,0,0
BX 458,2019-07-02,0,0,0
BX 458,2019-07-02,28,7,21
BX 458,2019-07-02,0,0,0
BX 459,2019-07-05,0,0,0
BX 459,2019-07-05,54,35,19
BX 459,2019-07-05,0,0,0
BX 460,2019-07-06,0,0,0
BX 460,2019-07-06,7,6,1
BX 460,2019-07-06,0,0,0
BX 461,2019-07-22,0,0,NULL
BX 461,2019-07-22,5,5,NULL
BX 461,2019-07-22,0,0,NULL
BX 462,2019-08-25,0,0,0
BX 462,2019-08-25,53,23,30
BX 462,2019-08-25,0,0,0
BX 463b,2019-11-03,0,NULL,0
BX 463b,2019-11-03,44,NULL,44
BX 463b,2019-11-03,0,NULL,0
BX 463s,2019-11-03,0,0,0
BX 463s,2019-11-03,152,151,1
BX 463s,2019-11-03,0,0,0
